鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
楊梅區,房地(土地+建物)+車位,桃園市楊梅區青山一街１２３號十三樓,20.82,都市：其他:住宅區,,,1110108,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080418,120.44,2,2,1,有,有,7080000,58784,坡道平面,28.56,0,,RPPOMLOKKHHGFDH87DA,55.54,0.0,7.66,有,297.0
楊梅區,房地(土地+建物)+車位,桃園市楊梅區金山街２７５巷９號三樓,21.76,都市：其他:住宅區,,,1101204,土地2建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040925,152.63,3,2,2,有,有,8250000,54052,坡道平面,29.13,0,,RPTOMLOKKHHGFDH28DA,75.86,0.0,8.45,有,298.0
蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區中興六街１４０號五樓,21.64,都市：其他:住宅區,,,1101218,土地1建物1車位1,五層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030324,162.18,3,2,2,有,有,11500000,70909,坡道平面,32.65,0,,RPVOMLLLJHHGFEH28DA,78.51,1.97,8.77,有,301.0
蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區中正路２９７號八樓之１,15.07,都市：其他:住宅區,,,1101225,土地1建物1車位1,八層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0910523,174.12,3,2,2,有,有,14200000,81553,坡道平面,22.69,0,,RPWNMLOJJHHGFEH38DA,94.19,2.35,14.45,有,
蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區愛山街７號十三樓,47.27,都市：其他:住宅區,,,1110122,土地1建物1車位3,十三層，十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000725,397.01,4,2,4,有,有,35000000,88159,坡道平面,0.0,0,,RPOQMLOKKHHGFEH08DA,154.29,18.46,19.66,有,
蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區大興路１１號八樓,14.29,都市：其他:住宅區,,,1110117,土地1建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041103,123.29,2,2,1,有,有,7750000,62860,坡道平面,0.0,0,,RPQNMLKKKHHGFEH57DA,50.91,0.0,6.76,有,305.0
蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區南福街２７之２號七樓,19.55,都市：其他:住宅區,,,1110108,土地1建物1車位1,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830531,147.2,3,2,2,有,有,9400000,63859,坡道平面,0.0,0,陽台外推；,RPTOMLTJKHHGFEH78DA,75.07,3.2,9.83,有,
八德區,房地(土地+建物)+車位,桃園市八德區金和路５１號四樓,15.36,都市：其他:第二種住宅區,,,1101223,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960815,124.21000000000001,2,1,1,有,有,8400000,67627,坡道平面,0.0,0,陽台外推；,RPSOMLKKKHHGFFH97DA,62.78,2.06,7.69,有,
平鎮區,房地(土地+建物)+車位,桃園市平鎮區文心路１３６號十二樓,13.03,都市：其他:商業區,,,1110106,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060817,124.84,2,2,1,有,有,7600000,60878,坡道平面,0.0,0,,RPWNMLRJJHHGFGH88DA,55.46,0.0,7.8,有,307.0
平鎮區,房地(土地+建物)+車位,桃園市平鎮區明德北路２１號三樓,13.99,都市：其他:住宅區,,,1110118,土地1建物1車位1,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840314,125.56,3,2,2,有,有,7300000,58140,坡道平面,0.0,0,,RPPPMLPLJHHGFGH38DA,74.77,0.0,12.46,有,
